Angle (degrees),1039.39 Hz,1539.39 Hz,2039.39 Hz,2539.39 Hz,3039.39 Hz,3539.39 Hz,4039.39 Hz,4539.39 Hz,5039.39 Hz,5539.39 Hz,6039.39 Hz,6539.39 Hz,7039.39 Hz,7539.39 Hz,8000.0 Hz
0,6.93,10.34,12.79,14.69,16.25,17.58,18.72,19.74,20.64,21.47,22.22,22.91,23.55,24.14,24.66
5,6.87,10.21,12.55,14.33,15.73,16.87,17.8,18.57,19.2,19.72,20.13,20.47,20.72,20.96,21.04
10,6.69,9.81,11.85,13.23,14.15,14.75,15.02,15.05,14.86,14.47,13.88,13.17,12.24,11.39,10.17
15,6.38,9.14,10.67,11.41,11.53,11.21,10.39,9.19,7.62,5.73,3.47,0.99,-1.9,-4.55,-7.95
20,5.95,8.2,9.02,8.86,7.85,6.26,3.91,0.99,-2.5,-6.5,-11.12,-16.05,-21.7,-26.87,-33.31
25,5.4,6.99,6.9,5.59,3.12,-0.1,-4.42,-9.56,-15.52,-22.24,-29.87,-37.96,-47.15,-55.57,-65.91
30,4.73,5.52,4.31,1.58,-2.65,-7.87,-14.61,-22.45,-31.44,-41.47,-52.78,-64.75,-78.25,-90.64,-105.76
35,3.93,3.77,1.25,-3.15,-9.48,-17.06,-26.65,-37.68,-50.25,-64.19,-79.87,-96.4,-115.01,-132.09,-152.86
40,3.01,1.76,-2.28,-8.62,-17.36,-27.67,-40.54,-55.26,-71.95,-90.42,-111.12,-132.92,-157.43,-179.92,-207.2
45,1.97,-0.52,-6.28,-14.81,-26.29,-39.69,-56.28,-75.18,-96.54,-120.13,-146.53,-174.32,-205.5,-234.12,-268.78
50,0.81,-3.06,-10.75,-21.73,-36.27,-53.12,-73.87,-97.45,-124.03,-153.35,-186.12,-220.58,-259.23,-294.7,-337.62
55,-0.48,-5.88,-15.69,-29.38,-47.3,-67.96,-93.31,-122.06,-154.41,-190.06,-229.87,-271.71,-318.61,-361.66,-413.69
60,-1.88,-8.96,-21.11,-37.76,-59.38,-84.22,-114.61,-149.01,-187.69,-230.27,-277.78,-327.71,-383.65,-434.99,-497.02
65,-3.41,-12.32,-26.99,-46.86,-72.51,-101.9,-137.76,-178.31,-223.86,-273.97,-329.87,-388.58,-454.35,-514.7,-587.59
70,-5.07,-15.94,-33.35,-56.69,-86.69,-120.99,-162.76,-209.95,-262.92,-321.17,-386.12,-454.33,-530.7,-600.79,-685.4
75,-6.84,-19.83,-40.18,-67.26,-101.92,-141.49,-189.61,-243.93,-304.88,-371.87,-446.53,-524.94,-612.7,-693.25,-790.46
80,-8.74,-23.98,-47.47,-78.55,-118.2,-163.4,-218.31,-280.26,-349.73,-426.06,-511.12,-600.42,-700.37,-792.1,-902.77
85,-10.76,-28.41,-55.24,-90.57,-135.53,-186.73,-248.87,-318.93,-397.47,-483.75,-579.87,-680.77,-793.68,-897.31,-1022.32
90,-12.9,-33.1,-63.48,-103.31,-153.91,-211.48,-281.28,-359.95,-448.11,-544.93,-652.78,-765.99,-892.66,-1008.91,-1149.11
95,-15.17,-38.06,-72.19,-116.79,-173.34,-237.63,-315.54,-403.31,-501.64,-609.62,-729.87,-856.08,-997.28,-1126.88,-1283.15
100,-17.56,-43.29,-81.37,-130.99,-193.83,-265.2,-351.65,-449.01,-558.06,-677.79,-811.12,-951.04,-1107.57,-1251.23,-1424.44
105,-20.07,-48.79,-91.02,-145.93,-215.36,-294.19,-389.61,-497.06,-617.38,-749.47,-896.53,-1050.87,-1223.51,-1381.96,-1572.97
110,-22.7,-54.56,-101.14,-161.59,-237.94,-324.59,-429.42,-547.45,-679.59,-824.64,-986.12,-1155.57,-1345.1,-1519.06,-1728.75
115,-25.46,-60.59,-111.73,-177.98,-261.58,-356.4,-471.09,-600.18,-744.69,-903.3,-1079.87,-1265.14,-1472.35,-1662.54,-1891.78
120,-28.33,-66.89,-122.8,-195.1,-286.26,-389.63,-514.61,-655.26,-812.69,-985.47,-1177.78,-1379.58,-1605.26,-1812.4,-2062.05
125,-31.33,-73.46,-134.33,-212.94,-312.0,-424.27,-559.98,-712.68,-883.58,-1071.13,-1279.87,-1498.88,-1743.82,-1968.63,-2239.56
130,-34.46,-80.3,-146.34,-231.52,-338.78,-460.32,-607.2,-772.45,-957.36,-1160.28,-1386.12,-1623.06,-1888.04,-2131.24,-2424.32
135,-37.7,-87.41,-158.81,-250.82,-366.62,-497.79,-656.28,-834.56,-1034.04,-1252.93,-1496.53,-1752.11,-2037.91,-2300.23,-2616.33
140,-41.07,-94.78,-171.76,-270.85,-395.5,-536.67,-707.2,-899.01,-1113.61,-1349.08,-1611.12,-1886.03,-2193.44,-2475.59,-2815.58
145,-44.56,-102.43,-185.17,-291.61,-425.44,-576.97,-759.98,-965.81,-1196.08,-1448.73,-1729.87,-2024.82,-2354.62,-2657.33,-3022.07
150,-48.17,-110.34,-199.06,-313.1,-456.43,-618.68,-814.61,-1034.95,-1281.44,-1551.87,-1852.78,-2168.47,-2521.46,-2845.45,-3235.82
155,-51.9,-118.52,-213.42,-335.32,-488.47,-661.8,-871.09,-1106.43,-1369.69,-1658.51,-1979.87,-2317.0,-2693.96,-3039.94,-3456.8
160,-55.76,-126.96,-228.25,-358.26,-521.55,-706.34,-929.42,-1180.26,-1460.84,-1768.64,-2111.12,-2470.4,-2872.11,-3240.82,-3685.04
165,-59.74,-135.68,-243.55,-381.94,-555.69,-752.29,-989.61,-1256.43,-1554.88,-1882.27,-2246.53,-2628.66,-3055.91,-3448.06,-3920.52
170,-63.84,-144.66,-259.32,-406.34,-590.88,-799.65,-1051.65,-1334.95,-1651.81,-1999.39,-2386.12,-2791.8,-3245.37,-3661.69,-4163.24
175,-68.07,-153.92,-275.56,-431.47,-627.12,-848.43,-1115.54,-1415.81,-1751.64,-2120.02,-2529.87,-2959.8,-3440.49,-3881.69,-4413.21
180,-72.41,-163.44,-292.28,-457.33,-664.41,-898.63,-1181.28,-1499.01,-1854.36,-2244.14,-2677.78,-3132.68,-3641.27,-4108.07,-4670.43
